game_year,Game_Date,launch_angle,launch_speed,events
2023,2023-03-30,9,94.2,triple
2023,2023-03-30,-19,93.7,single
2023,2023-03-30,27,59.1,single
2023,2023-03-30,13,111.7,single
2023,2023-03-30,1,94.8,grounded_into_double_play
2023,2023-03-30,81,69.5,field_out
2023,2023-03-30,-2,115.5,single
2023,2023-03-30,9,102.7,single
2023,2023-03-30,9,93.8,single
2023,2023-03-30,7,105.7,single
2023,2023-03-30,35,104.6,field_out
2023,2023-03-30,76,80.7,field_out
2023,2023-03-30,55,93.4,field_out
2023,2023-03-30,28,96.4,sac_fly
2023,2023-03-30,25,93.5,field_out
2023,2023-03-30,26,106.9,home_run
2023,2023-03-30,6,102.4,single
2023,2023-03-30,12,88.6,single
2023,2023-03-30,9,68.6,field_out
2023,2023-03-30,32,107.9,double
2023,2023-03-30,-2,109.4,force_out
2023,2023-03-30,30,100.2,field_out
2023,2023-03-30,1,71.8,field_out
2023,2023-03-30,-31,64.9,field_out
2023,2023-03-30,-2,99.3,single
2023,2023-03-30,31,87.7,field_out
2023,2023-03-30,-8,82.1,single
2023,2023-03-30,11,95.7,single
2023,2023-03-30,23,85.5,field_out
2023,2023-03-30,61,74.5,field_out
2023,2023-03-30,-46,77.4,grounded_into_double_play
2023,2023-03-30,5,105.1,field_out
2023,2023-03-30,22,106.6,double
2023,2023-03-30,56,89,field_out
2023,2023-03-30,14,104.6,single
2023,2023-03-30,38,60.8,single
2023,2023-03-30,2,92.4,field_out
2023,2023-03-30,16,94.3,single
2023,2023-03-30,20,96.5,double
2023,2023-03-30,34,83.2,field_out
2023,2023-03-30,24,78.8,single
2023,2023-03-30,-14,85.4,field_out
2023,2023-03-30,17,89.9,single
2023,2023-03-30,-1,93.8,field_out
2023,2023-03-30,9,102.2,field_out
2023,2023-03-30,-15,95.1,field_out
2023,2023-03-30,69,77.7,field_out
2023,2023-03-30,13,81.2,single
2023,2023-03-30,19,106.1,double
2023,2023-03-30,-49,61.5,field_out
2023,2023-03-30,12,88.1,double
2023,2023-03-30,20,94.8,triple
2023,2023-03-30,-36,86.5,field_out
2023,2023-03-30,34,86.9,field_out
2023,2023-03-30,35,87.1,field_out
2023,2023-03-30,-9,104,grounded_into_double_play
2023,2023-03-30,8,90.9,single
2023,2023-03-30,23,107.6,home_run
2023,2023-03-30,-44,62.3,field_out
2023,2023-03-30,-31,78.2,fielders_choice_out
2023,2023-03-30,-43,68.4,single
2023,2023-03-30,-20,72.3,force_out
2023,2023-03-30,22,102.9,field_out
2023,2023-03-30,-2,101.5,field_out
2023,2023-03-30,39,91.8,field_out
2023,2023-03-30,-8,105.8,field_out
2023,2023-03-30,12,110.8,single
2023,2023-03-30,3,71,grounded_into_double_play
2023,2023-03-30,11,106.2,single
2023,2023-03-30,4,102.3,field_out
2023,2023-03-30,31,99,home_run
2023,2023-03-30,62,84.7,field_out
2023,2023-03-30,78,74.7,field_out
2023,2023-03-30,-38,77.3,field_out
2023,2023-03-30,-6,93.4,field_out
2023,2023-03-30,19,80,double
2023,2023-03-30,-2,97.6,field_out
2023,2023-03-30,8,101.4,field_out
2023,2023-03-30,11,109.4,single
2023,2023-03-30,62,86.4,field_out
2023,2023-03-30,5,104.6,single
2023,2023-03-30,19,99.5,field_out
2023,2023-03-30,6,79,single
2023,2023-03-30,24,74.9,single
2023,2023-03-30,-55,65,single
2023,2023-03-30,10,99.2,double
2023,2023-03-30,8,102.3,single
2023,2023-03-30,39,98.9,field_out
2023,2023-03-30,33,99.9,home_run
2023,2023-03-30,34,102.8,home_run
2023,2023-03-30,-19,101.8,field_out
2023,2023-03-30,-11,70.3,field_out
2023,2023-03-30,10,103.8,double
2023,2023-03-30,34,101.7,field_out
2023,2023-03-30,-6,99.8,field_out
2023,2023-03-30,-7,87,force_out
2023,2023-03-30,42,84.9,field_out
2023,2023-03-30,59,100.2,field_out
2023,2023-03-30,-34,61.7,field_out
2023,2023-03-30,-23,108.2,field_out
2023,2023-03-30,34,96.1,field_out
2023,2023-03-30,19,83.8,single
2023,2023-03-30,74,86.3,field_out
2023,2023-03-30,-19,92,grounded_into_double_play
2023,2023-03-30,10,81.8,single
2023,2023-03-30,10,94.9,double
2023,2023-03-30,58,71.7,field_out
2023,2023-03-30,-19,92.2,single
2023,2023-03-30,-19,100.6,field_out
2023,2023-03-30,0,81.8,field_out
2023,2023-03-30,-11,72.6,field_out
2023,2023-03-30,42,97.3,field_out
2023,2023-03-30,-15,106.6,field_out
2023,2023-03-30,32,101,field_out
2023,2023-03-30,6,104.6,field_out
2023,2023-03-30,15,103.8,single
2023,2023-03-30,16,60.2,field_out
2023,2023-03-30,46,74.4,field_out
2023,2023-03-30,-26,46.2,field_out
2023,2023-03-30,-5,94.6,field_out
2023,2023-03-30,4,85.9,single
